City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oranjemund,-28.55,16.4333,11.46,73,0,2.77,NA,1690421879
1,bilibino,68.0546,166.4372,11.48,68,100,1.86,RU,1690421566
2,at taraf,25.3628,49.725,29.3,34,98,1.5,SA,1690421879
3,midelt,32.6852,-4.7451,22.24,45,1,1.58,MA,1690421880
4,at taj,24.2049,23.2857,26.51,17,94,2.8,LY,1690421634
5,port-aux-francais,-49.35,70.2167,4.44,78,90,16.12,TF,1690421558
6,bredasdorp,-34.5322,20.0403,8.78,91,0,1.98,ZA,1690421568
7,bonthe,7.5264,-12.505,24.38,92,92,2.09,SL,1690421880
8,yellowknife,62.456,-114.3525,25.31,33,75,4.92,CA,1690421438
9,utrik,11.2278,169.8474,28.25,79,100,8.1,MH,1690421577
10,grytviken,-54.2811,-36.5092,0.87,98,100,5.05,GS,1690421556
11,ketchikan,55.3422,-131.6461,19.26,68,40,4.63,US,1690421665
12,aasiaat,68.7098,-52.8699,2.08,96,32,3.02,GL,1690421606
13,ushuaia,-54.8,-68.3,-1.19,74,0,2.57,AR,1690421871
14,albany,42.6001,-73.9662,25.36,77,100,2.06,US,1690421402
15,kapoeta,4.7717,33.5903,21.27,91,100,1.99,SS,1690421881
16,maykop,44.6078,40.1058,19.76,67,0,1.68,RU,1690421882
17,edinburgh of the seven seas,-37.0676,-12.3116,10.76,52,62,10.43,SH,1690421561
18,waitangi,-43.9535,-176.5597,9.34,87,81,0.45,NZ,1690421559
19,hermanus,-34.4187,19.2345,11.77,83,0,2.86,ZA,1690421608
20,keflavik,64.0049,-22.5624,10.95,93,40,3.09,IS,1690421495
21,santiago,-33.4569,-70.6483,14.77,73,100,3.09,CL,1690421525
22,yeppoon,-23.1333,150.7333,20.88,61,47,7.44,AU,1690421586
23,sao vicente,-23.9631,-46.3919,27.37,26,2,2.13,BR,1690421571
24,stanley,54.868,-1.6985,13.49,94,75,1.54,GB,1690421574
25,adamstown,-25.066,-130.1015,19.79,63,42,6.66,PN,1690421555
26,palikir - national government center,6.9248,158.1611,31.41,66,40,4.12,FM,1690421609
27,huatabampo,26.8333,-109.6333,34.07,62,5,4.33,MX,1690421883
28,puerto natales,-51.7236,-72.4875,-1.38,92,100,1.18,CL,1690421480
29,port mathurin,-19.6833,63.4167,23.63,79,51,7.81,MU,1690421555
30,margaret river,-33.95,115.0667,13.58,68,97,5.36,AU,1690421557
31,blackmans bay,-43.0167,147.3167,12.07,75,100,2.03,AU,1690421580
32,leh,34.1667,77.5833,16.74,55,6,1.92,IN,1690421884
33,qaqortoq,60.7167,-46.0333,6.65,83,89,1.44,GL,1690421561
34,kailua-kona,19.6406,-155.9956,30.98,77,75,6.17,US,1690421580
35,bethel,41.3712,-73.414,25.42,79,16,2.53,US,1690421559
